date,ym,papua_new_guinea_rnz_body_count,papua_new_guinea_rnz_epu_count,papua_new_guinea_rnz_ratio,papua_new_guinea_png_business_news_body_count,papua_new_guinea_png_business_news_epu_count,papua_new_guinea_png_business_news_ratio,papua_new_guinea_abc_au_body_count,papua_new_guinea_abc_au_epu_count,papua_new_guinea_abc_au_ratio,papua_new_guinea_post_courier_body_count,papua_new_guinea_post_courier_epu_count,papua_new_guinea_post_courier_ratio,news_total,papua_new_guinea_rnz_weights,papua_new_guinea_png_business_news_weights,papua_new_guinea_abc_au_weights,papua_new_guinea_post_courier_weights,papua_new_guinea_rnz_z_score,papua_new_guinea_png_business_news_z_score,papua_new_guinea_abc_au_z_score,papua_new_guinea_post_courier_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2015-01-01,2015-1,6,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,36.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,42,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.047619047619047616,0.0,0.0,0.0,63.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.7265232295240354,0.0,0.18163080738100884,0.2421744098413451,69.69795023720614,42.26650146277352,69.69795023720614
2015-03-01,2015-3,83,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.07142857142857142,0.0,0.0,0.0,97.0,0.8556701030927835,0.0,0.14432989690721648,0.0,0.0,0.0,1.089784844286053,0.0,0.27244621107151323,0.157288534226853,45.2677408757112,63.39975219416028,45.2677408757112
2015-04-01,2015-4,107,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,123.0,0.8699186991869918,0.0,0.13008130081300814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,2015-5,129,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.047619047619047616,0.0,0.0,0.0,150.0,0.86,0.0,0.14,0.0,0.0,0.0,0.7265232295240354,0.0,0.18163080738100884,0.10171325213336496,29.273139099626583,42.26650146277352,29.273139099626583
2015-06-01,2015-6,138,1.0,0.007246376811594203,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,165.0,0.8363636363636363,0.0,0.16363636363636364,0.0,0.8241172499956863,0.0,0.0,0.0,0.20602931249892156,0.6892616999963921,198.36995865183695,47.944169624499544,198.36995865183695
2015-07-01,2015-7,157,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,186.0,0.8440860215053764,0.0,0.15591397849462366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,125,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.038461538461538464,0.0,0.0,0.0,151.0,0.8278145695364238,0.0,0.17218543046357615,0.0,0.0,0.0,0.5868072238463363,0.0,0.14670180596158408,0.1010396544371175,29.079277251284683,34.138328104547845,29.079277251284683
2015-09-01,2015-9,129,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,160.0,0.80625,0.0,0.19375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,83,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.038461538461538464,0.0,0.0,0.0,109.0,0.7614678899082569,0.0,0.23853211009174313,0.0,0.0,0.0,0.5868072238463363,0.0,0.14670180596158408,0.13997236532114446,40.28413637563292,34.138328104547845,40.28413637563292
