date,ym,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_tuoi_tre_weights,vietnam_news_weights,vietnam_tuoi_tre_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2015-01-01,2015-1,227,0.0,0.0,0.0,0.0,0.0,227.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,149,0.0,0.0,0.0,0.0,0.0,149.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,264,2.0,0.007575757575757576,0.0,0.0,0.0,264.0,1.0,0.0,0.891417495451655,0.0,0.4457087477258275,0.891417495451655,76.48328101908524,63.70800050255319,76.48328101908524
2015-04-01,2015-4,213,4.0,0.018779342723004695,0.0,0.0,0.0,213.0,1.0,0.0,2.209710974640722,0.0,1.104855487320361,2.209710974640722,189.59235858252114,157.9240575837938,189.59235858252114
2015-05-01,2015-5,235,2.0,0.00851063829787234,0.0,0.0,0.0,235.0,1.0,0.0,1.0014222076563273,0.0,0.5007111038281636,1.0014222076563273,85.92164335761065,71.56983886244272,85.92164335761065
2015-06-01,2015-6,197,0.0,0.0,0.0,0.0,0.0,197.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,201,1.0,0.004975124378109453,0.0,0.0,0.0,201.0,1.0,0.0,0.5854085044757137,0.0,0.29270425223785684,0.5854085044757137,50.22782634089179,41.83808988227373,50.22782634089179
2015-08-01,2015-8,218,3.0,0.013761467889908258,0.0,0.0,0.0,218.0,1.0,0.0,1.6192721477011716,0.0,0.8096360738505858,1.6192721477011716,138.9329324933842,115.72645962849111,138.9329324933842
2015-09-01,2015-9,177,2.0,0.011299435028248588,0.0,0.0,0.0,177.0,1.0,0.0,1.3295718576228075,0.0,0.6647859288114037,1.3295718576228075,114.07675813016102,95.02210244448611,114.07675813016102
2015-10-01,2015-10,194,1.0,0.005154639175257732,0.0,0.0,0.0,194.0,1.0,0.0,0.6065314917506106,0.0,0.3032657458753053,0.6065314917506106,52.040170590305415,43.34771168214959,52.040170590305415
2015-11-01,2015-11,232,2.0,0.008620689655172414,0.0,0.0,0.0,232.0,1.0,0.0,1.0143716327553316,0.0,0.5071858163776658,1.0143716327553316,87.0326990906832,72.49531091669846,87.0326990906832
