date,ym,tonga_abc_au_body_count,tonga_abc_au_epu_count,tonga_abc_au_ratio,tonga_matangi_body_count,tonga_matangi_epu_count,tonga_matangi_ratio,tonga_rnz_body_count,tonga_rnz_epu_count,tonga_rnz_ratio,news_total,tonga_abc_au_weights,tonga_matangi_weights,tonga_rnz_weights,tonga_abc_au_z_score,tonga_matangi_z_score,tonga_rnz_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2015-01-01,2015-1,6.0,0.0,0.0,154,0.0,0.0,3,0.0,0.0,163.0,0.03680981595092025,0.9447852760736196,0.018404907975460124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,2.0,0.0,0.0,152,0.0,0.0,22,0.0,0.0,176.0,0.011363636363636364,0.8636363636363636,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,2.0,0.0,0.0,186,0.0,0.0,44,0.0,0.0,232.0,0.008620689655172414,0.8017241379310345,0.1896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015-4,2.0,0.0,0.0,134,0.0,0.0,35,0.0,0.0,171.0,0.011695906432748537,0.783625730994152,0.2046783625730994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,2015-5,2.0,0.0,0.0,156,2.0,0.01282051282051282,48,0.0,0.0,206.0,0.009708737864077669,0.7572815533980582,0.23300970873786409,0.0,1.652956448859941,0.0,0.5509854829533137,1.2517534272919941,223.23998899141338,156.39069644034632,223.23998899141338
2015-06-01,2015-6,2.0,0.0,0.0,110,0.0,0.0,37,0.0,0.0,149.0,0.013422818791946308,0.738255033557047,0.2483221476510067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,5.0,0.0,0.0,162,2.0,0.012345679012345678,67,0.0,0.0,234.0,0.021367521367521368,0.6923076923076923,0.2863247863247863,0.0,1.5917358396429062,0.0,0.5305786132143021,1.1019709659066272,196.52751167620153,150.5984484240372,196.52751167620153
2015-08-01,2015-8,0.0,0.0,0.0,158,0.0,0.0,48,0.0,0.0,206.0,0.0,0.7669902912621359,0.23300970873786409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,4.0,0.0,0.0,172,0.0,0.0,48,0.0,0.0,224.0,0.017857142857142856,0.7678571428571429,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,0.0,0.0,0.0,168,0.0,0.0,54,0.0,0.0,222.0,0.0,0.7567567567567568,0.24324324324324326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
