date,ym,palau_island_times_body_count,palau_island_times_epu_count,palau_island_times_ratio,palau_abc_au_solomon_islands_body_count,palau_abc_au_solomon_islands_epu_count,palau_abc_au_solomon_islands_ratio,palau_rnz_body_count,palau_rnz_epu_count,palau_rnz_ratio,news_total,palau_island_times_weights,palau_abc_au_solomon_islands_weights,palau_rnz_weights,palau_island_times_z_score,palau_abc_au_solomon_islands_z_score,palau_rnz_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2015-01-01,2015-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015-4,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,
2015-06-01,2015-6,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,
2015-09-01,2015-9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,2015-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,2015-12,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016-1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,2016-5,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,2016-6,25.0,1.0,0.04,0.0,0.0,0.0,3.0,0.0,0.0,28.0,0.8928571428571429,0.0,0.10714285714285714,3.302569113086355,0.0,0.0,1.100856371028785,2.9487224223985313,419.9283905462086,348.75784269598114,419.9283905462086
2016-07-01,2016-7,173.0,1.0,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0,173.0,1.0,0.0,0.0,0.47724987183328826,0.0,0.0,0.15908329061109608,0.47724987183328826,67.965288643317,50.39853218150015,67.965288643317
